"Plot3"
"Time (sec)","Linear Displacement3 (mm)"
1.86499999999998,59.9999994441677
1.86999999999998,60.000001267946
1.87499999999998,59.9999026385642
1.87999999999998,59.9720438566289
1.88499999999998,59.8286598347083
1.88999999999998,59.4857560724759
1.89499999999998,58.8849527736282
1.89999999999998,57.9979520067188
1.90499999999998,56.8312127215989
1.90999999999998,55.4249369614958
1.91499999999998,53.8484240680674
1.91999999999998,52.1908618830814
1.92499999999998,50.55200975379
1.92999999999998,49.0289732378052
1.93499999999998,47.7049293808217
1.93999999999998,46.6390463023052
1.94499999999998,45.859442322411
1.94999999999998,45.3596968548555
1.95499999999998,45.0994065028848
1.95999999999998,45.0093864693593
1.96499999999998,45.0000441155499
1.96999999999998,44.9999988583131
1.97499999999998,45.000004271927
1.97999999999998,44.999995290871
1.98499999999998,44.9999978384864
1.98999999999998,44.9999984066421
1.99499999999998,44.999999436324
2,45.0000014110171
